scenario,fx,max_fy,fz,mx,my,mz,fx_jr,fy_jr,fz_jr,mx_jr,mz_jr,quad_force,ham_force,gastro_force,ta_force,sol_force,qh_ratio,gta_ratio
FemaleSmall,0.0,0.0,0.0,0.0,-0.005900406991052926,0.0,0.3622176955769876,-1.427825228561063,0.06114362884934059,0.0003771701870574186,0.0002645618218568224,515.7971219083304,270.7211287142077,259.4623049752657,22.38615602249116,116.9322914558101,1.9052710232042591,11.590301823796205
scenario,fx,max_fy,fz,mx,my,mz,fx_jr,fy_jr,fz_jr,mx_jr,mz_jr,quad_force,ham_force,gastro_force,ta_force,sol_force,qh_ratio,gta_ratio
FemaleMedium,1.0095335150710698,3.816467111588402,-0.005639857747623704,-0.05040876992228973,-0.028495343304917133,0.07783309824516461,4.172768095418087,-8.31161936527413,0.4311828572622491,0.0545919927583324,0.10901575133250971,3074.804913076943,56.58940211048047,437.676968727292,9.908262450970193,2734.846023597274,54.33534899474549,44.17292849206227
scenario,fx,max_fy,fz,mx,my,mz,fx_jr,fy_jr,fz_jr,mx_jr,mz_jr,quad_force,ham_force,gastro_force,ta_force,sol_force,qh_ratio,gta_ratio
FemaleLarge,0.16833461046839898,1.0153499293161443,-0.6673649182459318,0.019510117460223877,0.1290152683375939,0.06212577974292053,3.2751749567678843,-7.4468508867162555,0.20776921743155782,-0.014192724197149842,0.11895649219786836,2319.2615763294693,485.9463318145945,1386.3186233171436,86.76873083459672,3376.590493038898,4.772670199338697,15.977168387536054
scenario,fx,max_fy,fz,mx,my,mz,fx_jr,fy_jr,fz_jr,mx_jr,mz_jr,quad_force,ham_force,gastro_force,ta_force,sol_force,qh_ratio,gta_ratio
MaleSmall,0.1466344294721902,1.3342489560696584,-0.1648512841596887,0.0040936109309228684,-0.0007516269195316903,0.055447147852492835,3.6131058770984157,-7.579141294735709,0.2917899818714099,0.0065774139095480764,0.05475887021519594,2713.3720391403995,379.36474549599063,1160.8190945882418,61.93236293242443,3316.14071489634,7.152409577734671,18.743336110957586
scenario,fx,max_fy,fz,mx,my,mz,fx_jr,fy_jr,fz_jr,mx_jr,mz_jr,quad_force,ham_force,gastro_force,ta_force,sol_force,qh_ratio,gta_ratio
MaleMedium,0.921161991886386,3.4638570493259127,-0.008811316665797353,-0.0486906905739366,-0.023749511238993208,0.06531544603327155,3.0605434126955484,-6.904918380642866,0.3308854355053904,0.05170894726373883,0.08667859320404445,2387.442968849013,29.94258432470624,220.0190137533914,6.321124194010533,2037.682615649706,79.73403173750387,34.80694367022031
scenario,fx,max_fy,fz,mx,my,mz,fx_jr,fy_jr,fz_jr,mx_jr,mz_jr,quad_force,ham_force,gastro_force,ta_force,sol_force,qh_ratio,gta_ratio
MaleLarge,4.399932042673811,14.4060787549207,0.1799921568976474,0.00825152112204554,-0.024050704697722514,0.3304477073266555,3.713513193765892,-17.538485604716417,-0.05364092692693942,0.07114949262469476,0.08420256589692292,2266.2744614133767,51.26925145713263,456.2162067674418,8.688749638846126,2706.751555969302,44.203385011545556,52.50654302752217
